"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
1,07/22/16 07:04:19 em,2.3,29.32
2,07/22/16 07:04:20 em,2.3,29.32
3,07/22/16 07:04:21 em,2.3,29.32
4,07/22/16 07:04:22 em,1.7,29.32
5,07/22/16 07:04:23 em,2.3,29.32
6,07/22/16 07:04:24 em,2.3,29.32
7,07/22/16 07:04:25 em,2.3,29.32
8,07/22/16 07:04:26 em,2.3,29.31
9,07/22/16 07:04:27 em,1.9,29.30
10,07/22/16 07:04:28 em,2.3,29.30
11,07/22/16 07:04:29 em,2.3,29.30
12,07/22/16 07:04:30 em,2.3,29.29
13,07/22/16 07:04:31 em,2.3,29.30
14,07/22/16 07:04:32 em,2.3,29.31
15,07/22/16 07:04:33 em,1.9,29.31
16,07/22/16 07:04:34 em,2.3,29.31
17,07/22/16 07:04:35 em,2.3,29.32
18,07/22/16 07:04:36 em,2.3,29.32
19,07/22/16 07:04:37 em,2.3,29.32
20,07/22/16 07:04:38 em,2.3,29.34
21,07/22/16 07:04:39 em,2.3,29.34
22,07/22/16 07:04:40 em,2.3,29.34
23,07/22/16 07:04:41 em,2.3,29.35
24,07/22/16 07:04:42 em,2.3,29.35
25,07/22/16 07:04:43 em,2.3,29.34
26,07/22/16 07:04:44 em,2.3,29.34
27,07/22/16 07:04:45 em,1.9,29.35
28,07/22/16 07:04:46 em,2.3,29.35
29,07/22/16 07:04:47 em,2.3,29.35
30,07/22/16 07:04:48 em,1.9,29.35
31,07/22/16 07:04:49 em,2.3,29.36
32,07/22/16 07:04:50 em,2.3,29.36
33,07/22/16 07:04:51 em,2.3,29.35
34,07/22/16 07:04:52 em,2.3,29.32
35,07/22/16 07:04:53 em,2.3,29.29
36,07/22/16 07:04:54 em,2.3,29.29
37,07/22/16 07:04:55 em,2.3,29.29
38,07/22/16 07:04:56 em,2.3,29.27
39,07/22/16 07:04:57 em,1.9,29.27
40,07/22/16 07:04:58 em,2.5,29.27
41,07/22/16 07:04:59 em,2.5,29.26
42,07/22/16 07:05:00 em,2.3,29.25
43,07/22/16 07:05:01 em,2.3,29.26
44,07/22/16 07:05:02 em,2.3,29.26
45,07/22/16 07:05:03 em,2.5,29.25
46,07/22/16 07:05:04 em,2.3,29.21
47,07/22/16 07:05:05 em,1.9,29.21
48,07/22/16 07:05:06 em,2.3,29.21
49,07/22/16 07:05:07 em,2.3,29.20
50,07/22/16 07:05:08 em,2.3,29.18
51,07/22/16 07:05:09 em,2.3,29.17
52,07/22/16 07:05:10 em,2.3,29.17
53,07/22/16 07:05:11 em,2.3,29.18
54,07/22/16 07:05:12 em,2.3,29.18
55,07/22/16 07:05:13 em,2.3,29.18
56,07/22/16 07:05:14 em,2.3,29.18
57,07/22/16 07:05:15 em,2.3,29.18
58,07/22/16 07:05:16 em,2.3,29.18
59,07/22/16 07:05:17 em,1.9,29.18
60,07/22/16 07:05:18 em,2.3,29.18
61,07/22/16 07:05:19 em,1.9,29.18
62,07/22/16 07:05:20 em,2.3,29.20
63,07/22/16 07:05:21 em,2.3,29.20
64,07/22/16 07:05:22 em,1.9,29.20
65,07/22/16 07:05:23 em,2.3,29.21
66,07/22/16 07:05:24 em,2.3,29.21
67,07/22/16 07:05:25 em,2.3,29.21
68,07/22/16 07:05:26 em,2.3,29.21
69,07/22/16 07:05:27 em,2.3,29.21
70,07/22/16 07:05:28 em,2.3,29.22
71,07/22/16 07:05:29 em,2.3,29.21
72,07/22/16 07:05:30 em,2.3,29.22
73,07/22/16 07:05:31 em,2.3,29.21
74,07/22/16 07:05:32 em,2.3,29.18
75,07/22/16 07:05:33 em,2.3,29.18
76,07/22/16 07:05:34 em,2.3,29.18
77,07/22/16 07:05:35 em,2.3,29.16
78,07/22/16 07:05:36 em,1.9,29.16
79,07/22/16 07:05:37 em,2.3,29.17
80,07/22/16 07:05:38 em,2.3,29.17
81,07/22/16 07:05:39 em,2.3,29.17
82,07/22/16 07:05:40 em,1.7,29.17
83,07/22/16 07:05:41 em,2.3,29.17
84,07/22/16 07:05:42 em,2.3,29.17
85,07/22/16 07:05:43 em,2.3,29.17
86,07/22/16 07:05:44 em,2.3,29.18
87,07/22/16 07:05:45 em,2.3,29.17
88,07/22/16 07:05:46 em,2.3,29.17
89,07/22/16 07:05:47 em,2.3,29.17
